"ENTREZID","SYMBOL","GENENAME","X1.RD.dux4_no.dox_16hr_expt11.bam","X2.RD.dux4_with.dox_16hr_expt11.bam","X3.RD.dux4_no.dox_16hr_expt14.bam","X4.RD.dux4_with.dox_16hr_expt14.bam","X5.RD.dux4_no.dox_18hr_expt16.bam","X6.RD.dux4_with.dox_18hr_expt16.bam"
10189,"ALYREF","Aly/REF export factor",2364,40811,2233,48750,2498,38694
343071,"PRAMEF10","PRAME family member 10",46,24647,21,23600,64,18852
342931,"RFPL4A","ret finger protein like 4A",249,107836,166,108252,441,97135
24144,"TFIP11","tuftelin interacting protein 11",910,20524,851,25367,1078,19841
5292,"PIM1","Pim-1 proto-oncogene, serine/threonine kinase",324,11238,221,12607,342,10622
390999,"PRAMEF12","PRAME family member 12",171,66060,94,59134,252,53568
1958,"EGR1","early growth response 1",1217,22891,1346,24566,1210,20650
729974,"RFPL4AL1","ret finger protein like 4A like 1",181,73649,114,73850,317,66610
51163,"DBR1","debranching RNA lariats 1",874,11944,735,12600,979,11525
7803,"PTP4A1","protein tyrosine phosphatase type IVA, member 1",3416,82422,2707,89473,3925,75181
442247,"RFPL4B","ret finger protein like 4B",586,209227,380,212189,1023,190395
6615,"SNAI1","snail family zinc finger 1",154,13811,115,10713,237,13971
10568,"SLC34A2","solute carrier family 34 member 2",321,112541,211,130335,594,107192
4860,"PNP","purine nucleoside phosphorylase",1696,53429,1221,49685,2108,50396
65122,"PRAMEF2","PRAME family member 2",243,76868,111,72098,314,63624
163259,"DENND2C","DENN domain containing 2C",61,1155,80,1169,92,1284
7761,"ZNF214","zinc finger protein 214",93,1766,91,1804,91,1651
4609,"MYC","v-myc avian myelocytomatosis viral oncogene homolog",6563,150643,5657,146741,8496,132962
4616,"GADD45B","growth arrest and DNA damage inducible beta",185,10069,102,9863,196,9075
125997,"MBD3L2","methyl-CpG binding domain protein 3-like 2",555,169300,331,185922,950,158824
128209,"KLF17","Kruppel-like factor 17",12,5884,10,8185,8,5295
388,"RHOB","ras homolog family member B",492,4375,387,4168,546,4680
129025,"ZNF280A","zinc finger protein 280A",259,3926,198,4076,255,3629
653656,"MBD3L4","methyl-CpG binding domain protein 3-like 4",475,155278,271,172079,815,147589
284428,"MBD3L5","methyl-CpG binding domain protein 3-like 5",447,146670,257,162782,780,138733
642446,"TRIM64B","tripartite motif containing 64B",47,6842,35,5434,91,7198
65121,"PRAMEF1","PRAME family member 1",262,101958,125,94175,391,81371
10929,"SRSF8","serine/arginine-rich splicing factor 8",662,6927,633,6835,872,6895
2962,"GTF2F1","general transcription factor IIF subunit 1",4034,49496,3732,52084,4315,43085
100133251,"PRR23D2","proline rich 23 domain containing 2",10,2173,6,2699,20,2309
63934,"ZNF667","zinc finger protein 667",363,1907,342,2219,365,2115
100008587,"RNA5-8S5","RNA, 5.8S ribosomal 5",376,5992,328,7520,412,5676
144195,"SLC2A14","solute carrier family 2 member 14",78,5299,33,6380,79,5291
10284,"SAP18","Sin3A associated protein 18kDa",1402,7512,1291,7726,1443,7390
729384,"TRIM49D2","tripartite motif containing 49D2",668,173994,385,170127,1183,159843
642623,"UBTFL1","upstream binding transcription factor, RNA polymerase I-like 1",7,2263,7,2019,22,2138
642612,"TRIM49C","tripartite motif containing 49C",809,169270,430,172025,1307,159939
3039,"HBA1","hemoglobin subunit alpha 1",9,2247,6,3493,23,3043
80759,"KHDC1","KH homology domain containing 1",172,2869,223,4394,220,3658
57093,"TRIM49","tripartite motif containing 49",824,170185,420,173657,1309,161637
3040,"HBA2","hemoglobin subunit alpha 2",8,2160,5,3362,21,2927
54855,"FAM46C","family with sequence similarity 46 member C",42,3351,24,3244,73,3492
718,"C3","complement component 3",55,1569,36,1766,43,1426
4741,"NEFM","neurofilament, medium polypeptide",8,1520,6,1986,14,1768
283116,"TRIM49B","tripartite motif containing 49B",415,82793,206,84563,673,82112
144108,"SPTY2D1","SPT2 chromatin protein domain containing 1",1130,15842,1213,17682,1366,13495
54680,"ZNHIT6","zinc finger HIT-type containing 6",1775,16851,1792,21190,1888,16186
29950,"SERTAD1","SERTA domain containing 1",343,2213,339,2040,393,2147
5997,"RGS2","regulator of G-protein signaling 2",248,3302,327,2915,376,3376
90441,"ZNF622","zinc finger protein 622",602,4773,513,5362,610,4527
10209,"EIF1","eukaryotic translation initiation factor 1",6097,37916,5227,43384,6363,37468
440077,"ZNF705A","zinc finger protein 705A",29,1558,14,1727,45,1641
60370,"AVPI1","arginine vasopressin induced 1",213,1952,175,1984,257,1948
8870,"IER3","immediate early response 3",126,2417,74,2580,151,2686
54619,"CCNJ","cyclin J",927,19543,942,25285,1035,16217
9441,"MED26","mediator complex subunit 26",650,4060,640,3492,721,3870
22911,"WDR47","WD repeat domain 47",488,4729,415,5430,520,4365
3398,"ID2","inhibitor of DNA binding 2, HLH protein",353,13643,202,13755,472,14567
23237,"ARC","activity-regulated cytoskeleton-associated protein",417,14525,215,16482,458,14695
6515,"SLC2A3","solute carrier family 2 member 3",891,66419,385,77693,922,62317
256021,"LINC01619","long intergenic non-protein coding RNA 1619",9,1576,6,1744,7,1585
10614,"HEXIM1","hexamethylene bis-acetamide inducible 1",868,5564,769,5714,943,5208
3642,"INSM1","insulinoma associated 1",13,1068,18,1726,18,1388
79753,"SNIP1","Smad nuclear interacting protein 1",612,4350,654,4987,684,4165
6875,"TAF4B","TATA-box binding protein associated factor 4b",446,2961,472,2769,475,2711
5930,"RBBP6","retinoblastoma binding protein 6",2067,9764,2346,8956,2469,9746
646754,"TRIM64C","tripartite motif containing 64C",10,1006,6,955,8,1159
6303,"SAT1","spermidine/spermine N1-acetyltransferase 1",168,2292,138,1912,192,1963
3400,"ID4","inhibitor of DNA binding 4, HLH protein",66,950,60,1384,65,1099
1655,"DDX5","DEAD-box helicase 5",10543,79060,10510,89677,12150,71593
3475,"IFRD1","interferon related developmental regulator 1",2227,15765,1766,17824,2349,14922
898,"CCNE1","cyclin E1",1973,7695,2062,8914,2180,7867
10212,"DDX39A","DEAD-box helicase 39A",2939,9921,2828,10634,3191,9934
80223,"RAB11FIP1","RAB11 family interacting protein 1 (class I)",687,5797,744,8626,908,6761
4953,"ODC1","ornithine decarboxylase 1",8502,40570,8258,46854,9033,38917
64786,"TBC1D15","TBC1 domain family member 15",1763,3436,1636,3993,1910,4224
6446,"SGK1","serum/glucocorticoid regulated kinase 1",350,25928,173,25968,537,25836
9775,"EIF4A3","eukaryotic translation initiation factor 4A3",3083,18150,3310,21017,3339,16897
101927770,"LOC101927770","uncharacterized LOC101927770",16,2041,12,2353,16,1340
1028,"CDKN1C","cyclin-dependent kinase inhibitor 1C",38,1498,81,2261,45,2002
80311,"KLHL15","kelch like family member 15",794,6370,922,7880,922,5949
991,"CDC20","cell division cycle 20",6262,21540,5203,26430,6293,23781
63973,"NEUROG2","neurogenin 2",5,2553,4,3512,2,2267
760,"CA2","carbonic anhydrase II",5,1296,1,2000,11,1554
10395,"DLC1","DLC1 Rho GTPase activating protein",1070,4952,1057,5513,1319,4897
254170,"FBXO33","F-box protein 33",419,1985,336,2315,427,2046
377630,"USP17L2","ubiquitin specific peptidase 17-like family member 2",18,1183,5,1045,17,939
5411,"PNN","pinin, desmosome associated protein",6270,25830,6209,26165,6538,23625
6662,"SOX9","SRY-box 9",356,5994,175,5668,339,5875
22936,"ELL2","elongation factor for RNA polymerase II 2",611,8835,397,8829,724,7692
80315,"CPEB4","cytoplasmic polyadenylation element binding protein 4",487,2735,485,2845,530,2426
5394,"EXOSC10","exosome component 10",3149,10718,2943,11571,3436,10482
4744,"NEFH","neurofilament, heavy polypeptide",11,822,5,1188,5,943
51503,"CWC15","CWC15 spliceosome-associated protein",1011,3376,919,3294,1053,3263
150094,"SIK1","salt inducible kinase 1",1353,12114,1374,14164,1368,9866
51646,"YPEL5","yippee like 5",379,1758,412,1861,488,1742
8106,"PABPN1","poly(A) binding protein, nuclear 1",2255,11481,2197,11235,2211,9874
56648,"EIF5A2","eukaryotic translation initiation factor 5A2",120,851,136,1068,148,882
9673,"SLC25A44","solute carrier family 25 member 44",1203,5728,1134,6431,1372,5352
359787,"DPPA3","developmental pluripotency associated 3",5,795,4,752,6,939
203228,"C9orf72","chromosome 9 open reading frame 72",57,555,79,732,92,708
1839,"HBEGF","heparin binding EGF like growth factor",214,1506,161,1286,226,1383
8535,"CBX4","chromobox 4",447,2288,389,2662,560,2381
10073,"SNUPN","snurportin 1",506,1455,468,1588,514,1520
7071,"KLF10","Kruppel-like factor 10",790,4077,700,4880,821,3844
6926,"TBX3","T-box 3",407,1147,375,1181,402,1201
1490,"CTGF","connective tissue growth factor",630,4958,946,4506,914,5293
57035,"RSRP1","arginine/serine-rich protein 1",1096,13077,880,11964,778,9784
102724699,"LOC102724699","uncharacterized LOC102724699",592,1646,634,1654,648,1702
3608,"ILF2","interleukin enhancer binding factor 2",9044,27706,8631,32686,9548,28304
360,"AQP3","aquaporin 3 (Gill blood group)",238,1367,259,2094,259,1697
379,"ARL4D","ADP ribosylation factor like GTPase 4D",43,742,43,1072,76,895
2261,"FGFR3","fibroblast growth factor receptor 3",44,432,41,445,70,560
441478,"NRARP","NOTCH-regulated ankyrin repeat protein",87,2427,99,4149,122,2239
168417,"ZNF679","zinc finger protein 679",3,1371,4,1703,6,1154
6659,"SOX4","SRY-box 4",494,1767,471,1975,650,1995
3015,"H2AFZ","H2A histone family member Z",8014,14321,7564,14261,8709,15554
64216,"TFB2M","transcription factor B2, mitochondrial",598,2357,550,2504,631,2207
83667,"SESN2","sestrin 2",332,1630,310,1693,314,1465
8867,"SYNJ1","synaptojanin 1",416,2744,391,3107,407,2328
145438,"FRMD6-AS1","FRMD6 antisense RNA 1",383,1341,379,1619,514,2026
10370,"CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2",1248,4808,1099,5033,1540,4868
8227,"AKAP17A","A-kinase anchoring protein 17A",589,4130,582,5011,614,3545
6618,"SNAPC2","small nuclear RNA activating complex polypeptide 2",677,1925,590,2196,641,2020
64895,"PAPOLG","poly(A) polymerase gamma",751,2899,821,2659,873,2704
91409,"CCDC74B","coiled-coil domain containing 74B",117,984,98,1029,134,847
26504,"CNNM4","cyclin and CBS domain divalent metal cation transport mediator 4",408,2838,347,4194,472,3035
10001,"MED6","mediator complex subunit 6",1078,2824,1076,3136,1268,2979
55312,"RFK","riboflavin kinase",691,2921,618,2853,710,2599
7772,"ZNF229","zinc finger protein 229",13,387,11,548,14,467
3838,"KPNA2","karyopherin subunit alpha 2",9431,33543,9447,38899,10297,32202
64763,"ZNF574","zinc finger protein 574",668,2511,570,2699,720,2419
1195,"CLK1","CDC like kinase 1",1798,9179,1915,9754,1552,8340
1491,"CTH","cystathionine gamma-lyase",106,636,81,605,119,624
151903,"CCDC12","coiled-coil domain containing 12",762,2255,756,2427,826,2214
694,"BTG1","B-cell translocation gene 1, anti-proliferative",1003,2999,1151,2845,1073,3010
80149,"ZC3H12A","zinc finger CCCH-type containing 12A",114,884,85,761,138,837
51593,"SRRT","serrate, RNA effector molecule",5729,31471,5819,45203,6036,31600
22944,"KIN","Kin17 DNA and RNA binding protein",675,1437,610,1702,779,1780
467,"ATF3","activating transcription factor 3",266,1264,192,1176,308,1411
8337,"HIST2H2AA3","histone cluster 2, H2aa3",519,3307,384,3663,694,3666
7316,"UBC","ubiquitin C",41529,140850,39622,166528,44929,135908
729528,"PRAMEF14","PRAME family member 14",192,75022,99,68031,317,62322
90007,"MIDN","midnolin",2933,10628,2575,13716,3093,10914
8202,"NCOA3","nuclear receptor coactivator 3",966,1955,852,1861,1044,2217
201516,"ZSCAN4","zinc finger and SCAN domain containing 4",279,93576,133,100872,448,87245
6432,"SRSF7","serine/arginine-rich splicing factor 7",5118,17561,5153,17255,5359,15631
653657,"MBD3L3","methyl-CpG binding domain protein 3-like 3",527,171260,286,190705,911,164210
22894,"DIS3","DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease",1311,4556,1214,5223,1458,4372
51655,"RASD1","RAS, dexamethasone-induced 1",41,688,85,966,51,1020
80301,"PLEKHO2","pleckstrin homology domain containing O2",387,1530,373,1725,448,1463
7280,"TUBB2A","tubulin beta 2A class IIa",3758,10961,3211,12033,3879,10704
3185,"HNRNPF","heterogeneous nuclear ribonucleoprotein F",4511,15192,4186,16260,4675,13803
79693,"YRDC","yrdC N(6)-threonylcarbamoyltransferase domain containing",878,2343,741,2216,917,2356
10765,"KDM5B","lysine demethylase 5B",1965,15268,1948,22735,2186,14034
7057,"THBS1","thrombospondin 1",105,919,96,1196,176,1131
1026,"CDKN1A","cyclin-dependent kinase inhibitor 1A",2055,5919,2337,8142,2666,7654
284355,"TPRX1","tetra-peptide repeat homeobox 1",1,489,3,510,10,565
441250,"TYW1B","tRNA-yW synthesizing protein 1 homolog B",242,1273,238,1187,234,1069
51361,"HOOK1","hook microtubule-tethering protein 1",3,665,3,673,6,612
125050,"RN7SK","RNA, 7SK small nuclear",14,335,3,334,15,369
23401,"FRAT2","frequently rearranged in advanced T-cell lymphomas 2",253,1436,250,1947,295,1401
8349,"HIST2H2BE","histone cluster 2, H2be",189,742,191,996,266,1005
26017,"FAM32A","family with sequence similarity 32 member A",2177,5807,2049,6422,2222,5624
27289,"RND1","Rho family GTPase 1",12,292,6,290,16,332
140612,"ZFP28","ZFP28 zinc finger protein",324,1474,398,1792,406,1481
440560,"PRAMEF11","PRAME family member 11",102,38143,50,35146,173,32025
135112,"NCOA7","nuclear receptor coactivator 7",684,1954,598,1953,873,2323
728957,"ZNF705D","zinc finger protein 705D",7,530,1,667,6,553
6236,"RRAD","Ras-related associated with diabetes",23,372,9,306,14,422
91746,"YTHDC1","YTH domain containing 1",1615,6843,1715,8491,1807,6389
11065,"UBE2C","ubiquitin conjugating enzyme E2C",4588,10405,4267,11902,4748,10615
7763,"ZFAND5","zinc finger AN1-type containing 5",2381,8433,2228,8864,2473,7419
51602,"NOP58","NOP58 ribonucleoprotein",6785,14622,6863,17178,7815,15614
51118,"UTP11","UTP11, small subunit processome component homolog (S. cerevisiae)",2711,3478,2749,3991,3090,4362
51444,"RNF138","ring finger protein 138, E3 ubiquitin protein ligase",1631,3473,1505,3901,1813,3676
130940,"CCDC148","coiled-coil domain containing 148",16,308,6,274,15,367
84548,"TMEM185A","transmembrane protein 185A",555,1309,560,1394,567,1332
84246,"MED10","mediator complex subunit 10",441,1485,408,1359,522,1419
91807,"MYLK3","myosin light chain kinase 3",8,854,9,1109,11,562
5641,"LGMN","legumain",869,2162,901,2859,1045,2585
196,"AHR","aryl hydrocarbon receptor",37,645,16,532,29,514
129868,"TRIM43","tripartite motif containing 43",675,197921,386,207949,1219,179078
1735,"DIO3","deiodinase, iodothyronine, type III",4,442,1,644,8,798
142891,"SAMD8","sterile alpha motif domain containing 8",1139,3820,1072,4283,1270,3552
6046,"BRD2","bromodomain containing 2",4822,12418,4595,11201,5032,11598
114789,"SLC25A25","solute carrier family 25 member 25",878,1857,853,1951,869,1895
100419743,"DBET","D4Z4 binding element transcript (non-protein coding)",2,814,3,1145,3,842
653619,"PRAMEF15","PRAME family member 15",181,61823,91,55626,308,51221
30836,"DNTTIP2","deoxynucleotidyltransferase, terminal, interacting protein 2",3228,8136,3065,8018,3611,7741
79097,"TRIM48","tripartite motif containing 48",228,53660,120,53261,389,48987
25976,"TIPARP","TCDD-inducible poly(ADP-ribose) polymerase",518,1921,493,2021,522,1698
4800,"NFYA","nuclear transcription factor Y subunit alpha",2251,9543,2324,10456,2531,8156
101927280,"HRAT56","heart tissue-associated transcript 56",7,739,3,722,2,578
10969,"EBNA1BP2","EBNA1 binding protein 2",3440,7065,3048,7284,3633,7149
3725,"JUN","jun proto-oncogene",1407,5038,1024,5262,1341,4718
4170,"MCL1","myeloid cell leukemia 1",6059,19302,5798,18079,6573,16819
127544,"RNF19B","ring finger protein 19B",270,791,230,913,306,851
1960,"EGR3","early growth response 3",20,293,16,471,26,382
84541,"KBTBD8","kelch repeat and BTB domain containing 8",129,889,128,898,102,732
51018,"RRP15","ribosomal RNA processing 15 homolog",779,1881,731,1976,855,1853
144233,"BCDIN3D","BCDIN3 domain containing RNA methyltransferase",349,854,401,1022,460,1266
7852,"CXCR4","chemokine (C-X-C motif) receptor 4",141,1018,226,1498,217,1333
3182,"HNRNPAB","heterogeneous nuclear ribonucleoprotein A/B",3067,7119,2975,7617,3099,6868
3099,"HK2","hexokinase 2",2809,16379,2407,21991,2864,14049
11163,"NUDT4","nudix hydrolase 4",2911,9658,3024,11986,3215,9276
1525,"CXADR","coxsackie virus and adenovirus receptor",22,294,23,402,28,310
134218,"DNAJC21","DnaJ heat shock protein family (Hsp40) member C21",1521,1887,1446,2167,1668,2520
27338,"UBE2S","ubiquitin conjugating enzyme E2S",3907,7304,3268,7766,3723,7652
84337,"ELOF1","elongation factor 1 homolog",1191,2505,1130,2590,1319,2508
343068,"PRAMEF5","PRAME family member 5",157,63379,84,57418,296,53182
9308,"CD83","CD83 molecule",35,239,39,296,52,301
55813,"UTP6","UTP6, small subunit processome component",1861,3846,1731,3988,2044,3832
23411,"SIRT1","sirtuin 1",933,3032,815,3076,953,2665
55669,"MFN1","mitofusin 1",1597,4721,1737,5432,1828,4510
9592,"IER2","immediate early response 2",1713,7034,1365,6376,2086,6509
10171,"RCL1","RNA terminal phosphate cyclase-like 1",356,1143,321,1231,457,1179
114026,"ZIM3","zinc finger imprinted 3",2,598,0,683,6,598
11076,"TPPP","tubulin polymerization promoting protein",59,302,81,351,80,357
8623,"ASMTL","acetylserotonin O-methyltransferase-like",487,1284,430,1451,533,1292
415116,"PIM3","Pim-3 proto-oncogene, serine/threonine kinase",630,3511,504,4440,660,2995
348,"APOE","apolipoprotein E",15,220,21,246,22,241
8462,"KLF11","Kruppel-like factor 11",350,1090,344,1043,396,1004
9262,"STK17B","serine/threonine kinase 17b",1113,3505,892,3602,1220,3294
55206,"SBNO1","strawberry notch homolog 1 (Drosophila)",2901,8266,2947,9256,3091,7644
10383,"TUBB4B","tubulin beta 4B class IVb",23752,69772,21915,83441,24294,65581
22863,"ATG14","autophagy related 14",709,2323,677,2751,782,2178
101927774,"LINC00824","long intergenic non-protein coding RNA 824",184,547,187,683,246,866
219347,"TMEM254-AS1","TMEM254 antisense RNA 1",10,268,7,373,11,297
79016,"DDA1","DET1 and DDB1 associated 1",1073,2528,971,2759,1086,2451
5733,"PTGER3","prostaglandin E receptor 3",2,658,0,896,6,630
85403,"EAF1","ELL associated factor 1",742,2258,780,2583,866,2144
343070,"PRAMEF9","PRAME family member 9",140,59170,70,53357,261,48196
669,"BPGM","bisphosphoglycerate mutase",412,924,435,992,391,978
168374,"ZNF92","zinc finger protein 92",838,2191,924,2078,1075,2181
84767,"TRIM51","tripartite motif-containing 51",111,23521,58,23658,197,20787
2637,"GBX2","gastrulation brain homeobox 2",157,639,161,804,199,656
51728,"POLR3K","polymerase (RNA) III subunit K",752,1566,687,1674,739,1570
9603,"NFE2L3","nuclear factor, erythroid 2 like 3",115,666,127,724,183,661
29080,"CCDC59","coiled-coil domain containing 59",782,2013,698,2077,852,1906
26156,"RSL1D1","ribosomal L1 domain containing 1",7859,15556,7661,17273,8562,15575
100131980,"ZNF705G","zinc finger protein 705G",2,433,2,598,7,456
2872,"MKNK2","MAP kinase interacting serine/threonine kinase 2",3264,9782,2376,9026,3441,9753
3303,"HSPA1A","heat shock protein family A (Hsp70) member 1A",3768,39975,4978,40508,2636,33669
56902,"PNO1","partner of NOB1 homolog",1380,3481,1226,3838,1468,3324
126961,"HIST2H3C","histone cluster 2, H3c",58,362,46,370,76,356
780852,"SNORD3B-2","small nucleolar RNA, C/D box 3B-2",13,351,21,328,7,309
80135,"RPF1","ribosome production factor 1 homolog",1530,2707,1419,2747,1504,2747
25983,"NGDN","neuroguidin",807,2306,757,2454,954,2171
146880,"LOC146880","Rho GTPase activating protein 27 pseudogene",431,1354,507,1557,532,1344
26959,"HBP1","HMG-box transcription factor 1",843,3061,956,3371,888,2714
55521,"TRIM36","tripartite motif containing 36",112,1867,197,3087,151,1775
2861,"GPR37","G protein-coupled receptor 37 (endothelin receptor type B-like)",20,347,25,586,29,384
148423,"C1orf52","chromosome 1 open reading frame 52",618,1959,645,2046,749,1782
3304,"HSPA1B","heat shock protein family A (Hsp70) member 1B",4915,53114,6650,53555,3483,44624
51481,"VCX3A","variable charge, X-linked 3A",1,529,1,600,4,648
28969,"BZW2","basic leucine zipper and W2 domains 2",4365,10469,4329,12749,4576,10425
22919,"MAPRE1","microtubule associated protein RP/EB family member 1",7429,19099,7736,24211,7880,19272
4101,"MAGEA2","MAGE family member A2",4097,9466,3734,10069,4830,9337
440561,"PRAMEF6","PRAME family member 6",158,61860,76,56121,296,51772
81706,"PPP1R14C","protein phosphatase 1 regulatory inhibitor subunit 14C",13,187,17,196,14,220
51559,"NT5DC3","5'-nucleotidase domain containing 3",642,2537,794,3114,889,2523
6434,"TRA2B","transformer 2 beta homolog (Drosophila)",5095,16802,5476,17532,5341,14344
390,"RND3","Rho family GTPase 3",2254,5684,2433,5005,2799,5505
4880,"NPPC","natriuretic peptide C",9,218,12,257,24,257
645836,"USP17L3","ubiquitin specific peptidase 17-like family member 3",5,373,3,327,5,341
3020,"H3F3A","H3 histone, family 3A",58,683,58,749,72,483
7536,"SF1","splicing factor 1",7032,14749,6943,17403,7442,14809
55051,"NRDE2","NRDE-2, necessary for RNA interference, domain containing",606,2614,743,3064,630,2348
58517,"RBM25","RNA binding motif protein 25",4627,18453,5066,19831,5161,15111
5209,"PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",1575,2840,1288,2755,1470,2968
160419,"C12orf50","chromosome 12 open reading frame 50",3,709,1,791,1,649
25879,"DCAF13","DDB1 and CUL4 associated factor 13",2483,5674,2475,6097,2642,5330
220042,"DDIAS","DNA damage induced apoptosis suppressor",1099,3023,1133,2907,1364,2792
22827,"PUF60","poly(U) binding splicing factor 60KDa",4561,8261,4501,9731,4835,8623
3638,"INSIG1","insulin induced gene 1",1041,2892,1338,3139,1093,3026
79157,"MFSD11","major facilitator superfamily domain containing 11",395,1013,390,1286,391,1062
7695,"ZNF136","zinc finger protein 136",388,1350,384,1279,425,1142
8896,"BUD31","BUD31 homolog",1472,3636,1389,4116,1487,3417
55341,"LSG1","large 60S subunit nuclear export GTPase 1",1980,5404,1861,6361,2113,5043
6535,"SLC6A8","solute carrier family 6 member 8",1987,5477,1591,6249,2016,5170
101929983,"PRAMEF27","PRAME family member 27",110,42876,48,38507,200,34782
56033,"BARX1","BARX homeobox 1",21,196,25,213,36,233
26994,"RNF11","ring finger protein 11",1579,4533,1310,4972,1558,4064
153222,"CREBRF","CREB3 regulatory factor",132,455,154,504,164,460
400735,"PRAMEF4","PRAME family member 4",145,44363,61,40383,254,38042
29889,"GNL2","G protein nucleolar 2",3452,6741,3386,7561,3820,6719
10813,"UTP14A","UTP14A small subunit processome component",1542,2044,1492,2248,1701,2301
54439,"RBM27","RNA binding motif protein 27",1553,4243,1598,4694,1670,3842
347733,"TUBB2B","tubulin beta 2B class IIb",4381,8639,3919,9657,4672,8600
9021,"SOCS3","suppressor of cytokine signaling 3",171,435,114,516,145,560
8727,"CTNNAL1","catenin alpha-like 1",3419,6155,3003,5654,3285,6113
122183,"PRR20A","proline rich 20A",7,217,2,234,8,329
425054,"VCX3B","variable charge, X-linked 3B",2,494,0,547,3,597
79667,"KLF3-AS1","KLF3 antisense RNA 1",11,231,12,291,13,220
55253,"TYW1","tRNA-yW synthesizing protein 1 homolog",891,2007,818,1946,935,1864
81606,"LBH","limb bud and heart development",19,724,60,917,69,1009
122553,"TRAPPC6B","trafficking protein particle complex 6B",706,1585,643,1867,698,1575
9904,"RBM19","RNA binding motif protein 19",2099,4103,1931,4963,2178,4242
11266,"DUSP12","dual specificity phosphatase 12",923,1897,900,2390,1026,2042
8537,"BCAS1","breast carcinoma amplified sequence 1",58,339,24,356,48,409
390245,"KDM4E","lysine demethylase 4E",88,20163,50,20095,179,18869
29035,"C16orf72","chromosome 16 open reading frame 72",2470,12598,2929,16651,3169,10954
3337,"DNAJB1","DnaJ heat shock protein family (Hsp40) member B1",3630,14379,4086,12970,3511,11447
55082,"ARGLU1","arginine and glutamate rich 1",1091,2746,1146,2699,1176,2462
100128553,"CTAGE4","CTAGE family member 4",0,465,2,495,3,580
151194,"METTL21A","methyltransferase like 21A",1917,2850,1940,2908,1849,3026
8559,"PRPF18","pre-mRNA processing factor 18",390,935,370,1100,405,929
9129,"PRPF3","pre-mRNA processing factor 3",1806,3138,1738,3483,2050,3247
55175,"KLHL11","kelch like family member 11",180,1119,236,1237,165,941
10569,"SLU7","SLU7 homolog, splicing factor",1004,1958,951,2275,1023,1983
5101,"PCDH9","protocadherin 9",83,652,83,694,157,689
157638,"FAM84B","family with sequence similarity 84 member B",554,1827,374,1730,584,1790
6785,"ELOVL4","ELOVL fatty acid elongase 4",159,453,180,597,161,523
54700,"RRN3","RRN3 homolog, RNA polymerase I transcription factor",2188,4983,2012,5627,2360,4723
84549,"MAK16","MAK16 homolog",1616,2405,1761,2695,1913,2692
100129128,"KHDC1L","KH homology domain containing 1-like",31,12507,11,14956,58,11249
9140,"ATG12","autophagy related 12",1098,1653,1120,1869,1098,1808
2752,"GLUL","glutamate-ammonia ligase",4818,12281,3498,11774,5020,12079
8744,"TNFSF9","tumor necrosis factor superfamily member 9",26,205,10,218,26,250
7538,"ZFP36","ZFP36 ring finger protein",147,570,89,523,149,614
90637,"ZFAND2A","zinc finger AN1-type containing 2A",416,1132,392,1294,494,1092
6879,"TAF7","TATA-box binding protein associated factor 7",2381,5358,2413,5637,2366,4925
441871,"PRAMEF7","PRAME family member 7",226,49071,72,48073,330,41054
